,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
1865,GOAU4,2023-12-11,9.99193748,10.06962019,9.97251681,10.01135817,10.04048918,55088961.0
1866,GOAU4,2023-12-12,10.07933052,10.10846154,9.92396512,9.97251681,9.97251681,130440590.0
1867,GOAU4,2023-12-13,9.97251681,10.17643391,9.91425479,10.03077884,10.17643391,80658893.0
1868,GOAU4,2023-12-14,10.19585458,10.44832337,10.18614424,10.33179931,10.35121998,104976145.0
1869,GOAU4,2023-12-15,10.34150965,10.43861302,10.16672357,10.25411661,10.16672357,292616052.0
1870,GOAU4,2023-12-18,10.24440627,10.57455776,10.21527525,10.44832337,10.42890269,104712836.0
1871,GOAU4,2023-12-19,10.34150965,10.43861302,10.23469594,10.29295796,10.31237863,129353512.0
1872,GOAU4,2023-12-20,10.31237863,10.36093033,10.16672357,10.24440627,10.18614424,69684917.0
1873,GOAU4,2023-12-21,10.2249856,10.41919234,10.2249856,10.36093033,10.40948201,84111095.0
1874,GOAU4,2023-12-22,10.42890269,10.56484741,10.380351,10.46774404,10.49687504,89996404.0
1875,GOAU4,2023-12-26,10.49687504,10.52600606,10.41919234,10.4580337,10.49687504,46034223.0
1876,GOAU4,2023-12-27,10.49687504,10.50658539,10.43861302,10.46774404,10.46774404,49518790.0
1877,GOAU4,2023-12-28,10.47745437,10.56484741,10.43861302,10.52600606,10.54542673,61199061.0
1878,GOAU4,2024-01-02,10.56484741,10.62310943,10.40948201,10.50658539,10.4580337,89301752.0
1879,GOAU4,2024-01-03,10.46774404,10.48716471,10.35121998,10.39977167,10.39006133,94118388.0
1880,GOAU4,2024-01-04,10.39006133,10.43861302,10.24440627,10.31237863,10.29295796,76908582.0
1881,GOAU4,2024-01-05,10.28324761,10.34150965,10.16672357,10.27353728,10.34150965,73393445.0
1882,GOAU4,2024-01-08,10.34150965,10.43861302,10.27353728,10.37064066,10.380351,66296514.0
1883,GOAU4,2024-01-09,10.36093033,10.39977167,9.88512377,10.05990985,9.90454445,164322829.0
1884,GOAU4,2024-01-10,9.90454445,9.91425479,9.62294466,9.69091702,9.71033769,200832500.0
1885,GOAU4,2024-01-11,9.75888938,9.79773073,9.62294466,9.69091702,9.67149635,110634165.0
1886,GOAU4,2024-01-12,9.70062736,9.7880204,9.64236533,9.68120669,9.66178601,97621567.0
1887,GOAU4,2024-01-15,9.66178601,9.71033769,9.5841033,9.64236533,9.71033769,59077974.0
